serial_num,instrument,brand,status,
824204,TRUMPET,YAMAHA,Ready,Yamaha
350142,TRUMPET,YAMAHA,Ready,Yamaha
210149,TRUMPET,OLDS,Ready,Olds
5666879,TRUMPET,KING,Ready,King
829565,TRUMPET,KING,Ready,King
19061041,TRUMPET,BLESSING,Ready,Blessing
210211,TRUMPET,OLDS,Ready,Olds
302988,TRUMPET,YAMAHA,Ready,Yamaha
304472,TRUMPET,YAMAHA,Ready,Yamaha
256027,TRUMPET,YAMAHA,Ready,Yamaha
357462,TRUMPET,YAMAHA,Ready,Yamaha
221493,TRUMPET,YAMAHA,Ready,Yamaha
303323,TRUMPET,YAMAHA,Ready,Yamaha
303773,TRUMPET,YAMAHA,Ready,Yamaha
462658,TRUMPET,YAMAHA,Ready,Yamaha
303478A,TRUMPET,YAMAHA,Ready,Yamaha
306212A,TRUMPET,YAMAHA,Ready,Yamaha
453124,TRUMPET,YAMAHA,Ready,Yamaha
610202,TRUMPET,GARNEAU,Ready,GARNEAU
610203,TRUMPET,CONN,Ready,CONN
610204,TRUMPET,PAUL COLE,Ready,PAUL COLE
610205,TRUMPET,KING 600,Ready,KING 600
610206,TRUMPET,KING 600,Ready,KING 600
610207,TRUMPET,BUNDY,Ready,BUNDY
610208,TRUMPET,SILVER,Ready,SILVER
565517,TRUMPET,KING 600,Ready,KING 600
463538,TRUMPET,KING 601,Ready,KING 601
E94793,TRUMPET,BACH,Ready,BACH
TR300,TRUMPET,BACH,Ready,BACH
C47739,TRUMPET,BACH TR300,Ready,BACH TR300
382136A,TRUMPET,YAMAHA YTR2320,Ready,YAMAHA YTR2320
340341,TRUMPET,YAMAHA YTR2320,Ready,YAMAHA YTR2320
303017,TRUMPET,YAMAHA YTR2320,Ready,YAMAHA YTR2320
321570A,TRUMPET,YAMAHA YTR2320,Ready,YAMAHA YTR2320
328136A,TRUMPET,YAMAHA YTR2320,Ready,YAMAHA YTR2320
261065,TRUMPET,YAMAHA YTR2320,Ready,YAMAHA YTR2320
451162A,TRUMPET,YAMAHA YTR2320,Ready,YAMAHA YTR2320
322487,TRUMPET,YAMAHA YTR2320,Ready,YAMAHA YTR2320
084??????,TRUMPET,YAMAHA YTR2320,Ready,YAMAHA YTR2320
025692A,TRUMPET,YAMAHA YTR2320,Ready,YAMAHA YTR2320
U31534,TRUMPET,YAMAHA YTR2320,Ready,YAMAHA YTR2320
303230,TRUMPET,YAMAHA YTR2320,Ready,YAMAHA YTR2320
30622A,TRUMPET,YAMAHA YTR2320,Ready,YAMAHA YTR2320
718759,TRUMPET,YAMAHA YTR2320,Ready,YAMAHA YTR2320
844149,TRUMPET,YAMAHA YTR2320,Ready,YAMAHA YTR2320
303296,TRUMPET,YAMAHA YTR2320,Ready,YAMAHA YTR2320
544554,TRUMPET,YAMAHA YTR4335G(S),Ready,YAMAHA YTR4335G(S)
56551,TRUMPET,KOHLERT,Ready,KOHLERT
4336682,TRUMPET,KOHLERT,Ready,KOHLERT
610202,TRUMPET,GARNEAU,Ready,GARNEAU
365902,FLUTE,ARMSTRONG,Ready,Armstrong
307165,FLUTE,YAMAHA,Ready,Yamaha
348901,FLUTE,YAMAHA,Ready,Yamaha
176788,FLUTE,YAMAHA,Ready,Yamaha
42-23404,FLUTE ,YAMAHA,Ready,Yamaha
6143507,FLUTE,YAMAHA,Ready,Yamaha
027643,FLUTE,YAMAHA,Ready,Yamaha
848036,FLUTE,YAMAHA,Ready,Yamaha
43-02445,FLUTE,YAMAHA,Ready,Yamaha
348594A,FLUTE,YAMAHA,Ready,Yamaha
067370A,FLUTE,YAMAHA,Ready,Yamaha
3438594,FLUTE,YAMAHA,Ready,YAMAHA
38725,FLUTE,YAMAHA,Ready,YAMAHA
318916,FLUTE,YAMAHA,Ready,YAMAHA
1043428051,FLUTE,YAMAHA,Ready,YAMAHA
348815,FLUTE,YAMAHA,Ready,YAMAHA
348627,FLUTE,YAMAHA,Ready,YAMAHA
7060374,FLUTE,YAMAHA,Ready,YAMAHA
033663,FLUTE,YAMAHA,Ready,YAMAHA
391358,FLUTE,YAMAHA,Ready,YAMAHA
570481,FLUTE,YAMAHA,Ready,YAMAHA
34581,FLUTE,ARMSTRONG,Ready,ARMSTRONG
611354,FLUTE,ARMSTRONG,Ready,ARMSTRONG
39-31461,FLUTE,ARMSTRONG,Ready,ARMSTRONG
43-02245,FLUTE,ARMSTRONG,Ready,ARMSTRONG
6112031,FLUTE,ARMSTRONG,Ready,ARMSTRONG
6113205,FLUTE,ARMSTRONG,Ready,ARMSTRONG
307074,FLUTE,ARMSTRONG,Ready,ARMSTRONG
102---8478770,FLUTE,ARMSTRONG,Ready,ARMSTRONG
104---7240171,FLUTE,ARMSTRONG,Ready,ARMSTRONG
7274024,FLUTE,ARMSTRONG,Ready,ARMSTRONG
278404,FLUTE,GEMEINHARDT,Ready,GEMEINHARDT
C83107,FLUTE,GEMEINHARDT,Ready,GEMEINHARDT
C61140,FLUTE,GEMEINHARDT,Ready,GEMEINHARDT
G00584,FLUTE,GEMEINHARDT,Ready,GEMEINHARDT
80228,FLUTE,GEMEINHARDT,Ready,GEMEINHARDT
404841,TROMBONE,YAMAHA,Ready,Yamaha
41-38899,TROMBONE,KING,Ready,King
383051,TROMBONE,KING,Ready,King
23892A,TROMBONE,YAMAHA,Ready,Yamaha
9019,TROMBONE,KING,Ready,King
A8219,TROMBONE,KING,Ready,King
250530,TROMBONE,KING,Ready,King
43-462341,TROMBONE,KING,Ready,King
474260,TROMBONE,YAMAHA,Ready,Yamaha
3227,TROMBONE,YAMAHA,Ready,Yamaha
259380,TROMBONE,KING,Ready,KING
977919,TROMBONE,KING,Ready,KING
975049,TROMBONE,KING,Ready,KING
496870,TROMBONE,KING,Ready,KING
5609403,TROMBONE,KING,Ready,KING
B62727,TROMBONE,BACH,Ready,BACH
F84412,TROMBONE,BACH,Ready,BACH
5558683,TROMBONE,CONN,Ready,CONN
235003,TROMBONE,YAMAHA,Ready,YAMAHA
234008,TROMBONE,YAMAHA,Ready,YAMAHA
309571A,TROMBONE,YAMAHA,Ready,YAMAHA
718759,TROMBONE,YAMAHA,Ready,YAMAHA
444457,TROMBONE,YAMAHA,Ready,YAMAHA
D54339,CLARINET,LEBLANC,Ready,Leblanc
084156,CLARINET,YAMAHA,Ready,Yamaha
001443,CLARINET,YAMAHA,Ready,Yamaha
007446,CLARINET,YAMAHA,Ready,Yamaha
759639,CLARINET,YAMAHA,Ready,Yamaha
0830095,CLARINET,YAMAHA,Ready,Yamaha
795358,CLARINET,BUNDY,Ready,Bundy
69-17585,CLARINET,YAMAHA,Ready,Yamaha
795358,CLARINET,BUNDY,Ready,Bundy
4037698,CLARINET,ARMSTRONG,Ready,Armstrong
085293,CLARINET,YAMAHA,Ready,Yamaha
3816348,CLARINET,ARMSTRONG,Ready,Armstrong
001414,CLARINET,YAMAHA,Ready,Yamaha
001450,CLARINET,YAMAHA,Ready,YAMAHA
015617,CLARINET,YAMAHA,Ready,YAMAHA
792563,CLARINET,YAMAHA,Ready,YAMAHA
001412,CLARINET,YAMAHA,Ready,YAMAHA
085667A,CLARINET,YAMAHA,Ready,YAMAHA
105795A,CLARINET,YAMAHA,Ready,YAMAHA
085748,CLARINET,YAMAHA,Ready,YAMAHA
219662,CLARINET,YAMAHA,Ready,YAMAHA
086715A,CLARINET,YAMAHA,Ready,YAMAHA
3917585,CLARINET,YAMAHA,Ready,YAMAHA
1416,CLARINET,YAMAHA,Ready,YAMAHA
J37140,CLARINET,YAMAHA,Ready,YAMAHA
083395A,CLARINET,YAMAHA,Ready,YAMAHA
048381,CLARINET,YAMAHA,Ready,YAMAHA
084071,CLARINET,YAMAHA,Ready,YAMAHA
1446,CLARINET,YAMAHA,Ready,YAMAHA
101800A,CLARINET,YAMAHA,Ready,YAMAHA
088320A,CLARINET,YAMAHA,Ready,YAMAHA
12624114,CLARINET,BUNDY,Ready,BUNDY
N1527,CLARINET,BUNDY,Ready,BUNDY
1303178,CLARINET,BUNDY,Ready,BUNDY
1261596,CLARINET,BUNDY,Ready,BUNDY
1224946,CLARINET,BUNDY,Ready,BUNDY
1096019,CLARINET,BUNDY,Ready,BUNDY
786740,CLARINET,ARMSTRONG,Ready,ARMSTRONG
39-13454,CLARINET,ARMSTRONG 4001,Ready,ARMSTRONG 4001
42 04156,CLARINET,ARMSTRONG 4001,Ready,ARMSTRONG 4001
170943,CLARINET,VITO LEBLANC CASE,Ready,VITO LEBLANC CASE
B54250,CLARINET,VITO LEBLANC CASE,Ready,VITO LEBLANC CASE
216983,CLARINET,ARTLEY HENKIN,Ready,ARTLEY HENKIN
40 37698,CLARINET,ARTLEY 17S,Ready,ARTLEY 17S
201567,CLARINET,BOOSEY AND HAWKES,Ready,BOOSEY AND HAWKES
370519,ALTO SAX,YAMAHA,Ready,Yamaha
289372,ALTO SAX,YAMAHA,Ready,Yamaha
333915A,ALTO SAX,YAMAHA,Ready,Yamaha
378323,ALTO SAX,YAMAHA,Ready,Yamaha
292210,ALTO SAX,YAMAHA,Ready,Yamaha
353675,ALTO SAX,YAMAHA,Ready,Yamaha
T00572,ALTO SAX,YAMAHA,Ready,Yamaha
198254,ALTO SAX,YAMAHA,Ready,Yamaha
100273,ALTO SAX,YAMAHA,Ready,Yamaha
042596,ALTO SAX,YAMAHA,Ready,Yamaha
267819A,ALTO SAX,YAMAHA,Ready,Yamaha
289322,ALTO SAX,YAMAHA,Ready,Yamaha
285365,ALTO SAX,YAMAHA,Ready,Yamaha
C22899,ALTO SAX,YAMAHA,Ready,Yamaha
197236,ALTO SAX,YAMAHA,Ready,Yamaha
379171A,ALTO SAX,YAMAHA,Ready,Yamaha
1311520,ALTO SAX,KOHLER,Ready,KOHLER
811520,ALTO SAX,KOHLER,Ready,KOHLER
O5O1,ALTO SAX,KOHLER,Ready,KOHLER
1128868,ALTO SAX,BUNDY,Ready,BUNDY
1540,ALTO SAX,ARMSTRONG,Ready,ARMSTRONG
A01698,ALTO SAX,JUPITER,Ready,JUPITER
6695667,ALTO SAX,JUPITER,Ready,JUPITER
14938 A,ALTO SAX,VITO,Ready,VITO
30000,ALTO SAX,VITO,Ready,VITO
72744,ALTO SAX,VITO,Ready,VITO
509404,ALTO SAX,VITO,Ready,VITO
514754,ALTO SAX,VITO,Ready,VITO
185287A,ALTO SAX,YAMAHA,Ready,YAMAHA
276996A,ALTO SAX,YAMAHA,Ready,YAMAHA
42596,ALTO SAX,YAMAHA,Ready,YAMAHA
219064A,ALTO SAX,YAMAHA,Ready,YAMAHA
026609A,ALTO SAX,YAMAHA,Ready,YAMAHA
O94280A,ALTO SAX,YAMAHA,Ready,YAMAHA
115728,ALTO SAX,YAMAHA YAS-23,Ready,YAMAHA YAS-23
50950,ALTO SAX,YAMAHA YAS-21,Ready,YAMAHA YAS-21
157845a,ALTO SAX,YAMAHA YAS-23,Ready,YAMAHA YAS-23
208511,ALTO SAX,YAMAHA,Ready,YAMAHA
247399A,ALTO SAX,YAMAHA YAS-23,Ready,YAMAHA YAS-23
219188,ALTO SAX,YAMAHA,Ready,YAMAHA
219221A,ALTO SAX,YAMAHA,Ready,YAMAHA
365067,ALTO SAX,YAMAHA,Ready,YAMAHA
380437A,ALTO SAX,YAMAHA YAS-23,Ready,YAMAHA YAS-23
---,DRUMS,LOU CAPECE,Ready,Lou Capece
---,PERCUSSION,DIXON,Ready,Dixon
---,PERCUSSION,PEARL,Ready,Pearl
,PERCUSSION,CB,Ready,CB
,PERCUSSION,VIC FIRTH,Ready,Vic Firth
,PERCUSSION,YAMAHA,Ready,Yamaha
,PERCUSSION,LOU CAPECE,Ready,Lou Capece
1000,BELL KIT,CB PERCUS,Ready,CB PERCUS
1004,BELL KIT,PEARL,Ready,PEARL
1008,BELL KIT,LOU CAPAECE,Ready,LOU CAPAECE
100C,BELL KIT,VIC FIRTH,Ready,VIC FIRTH
1040,BELL KIT,,Ready,
1010,BELL KIT,LOU CAPAECE,Ready,LOU CAPAECE
1014,BELL KIT,PEARL,Ready,PEARL
1018,BELL KIT,NEW CB,Ready,NEW CB
101C,BELL KIT,??,Ready,??
1020,BELL KIT,NEW LOU,Ready,NEW LOU
1024,BELL KIT,??,Ready,??
serial_num,instrument,BRAND,Ready,brand
bluecase,VIOLA,---,Ready,---
---,CELLO,---,Ready,---
---,VIOLA,LOU CAPECE,Ready,Lou Capece
---,CELLO,HALFSIZE,Ready,halfsize
---,VIOLA,LOU CAPECE,Ready,Lou Capece
---,VIOLIN,THREEQUATER,Ready,ThreeQuater
---,CELLO,SILVERCASE,Ready,SILVERCASE
Japan,VIOLIN,THREEQUATER,Ready,ThreeQuater
15in,VIOLA,LOU CAPECE,Ready,LOu Capece